No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
466,Tempe Sambal Ijo,vegetarian,265,nasi merah,tempe dengan sambal ijo pedas segar tanpa santan,"['nasi', 'merah']",tempe sambal ijo vegetarian nasi merah tempe dengan sambal ijo pedas segar tanpa santan,nasi merah,tempe sambal ijo,tempe dengan sambal ijo pedas segar tanpa santan,protein_vegetarian,tempe sambal ijo vegetarian nasi merah tempe dengan sambal ijo pedas segar tanpa santan protein_vegetarian,tempe sambal ijo tempe dengan sambal ijo pedas segar tanpa santan nasi merah protein_vegetarian,tempe sambal ijo tempe dengan sambal ijo pedas segar tanpa santan
467,Tempe Goreng Wijen,vegetarian,250,kentang nasi putih,tempe goreng dengan taburan wijen wangi gurih,"['kentang', 'nasi', 'putih']",tempe goreng wijen vegetarian kentang nasi putih tempe goreng dengan taburan wijen wangi gurih,"kentang, nasi putih",tempe goreng wijen,tempe goreng dengan taburan wijen wangi gurih,protein_vegetarian,tempe goreng wijen vegetarian kentang nasi putih tempe goreng dengan taburan wijen wangi gurih protein_vegetarian,tempe goreng wijen tempe goreng dengan taburan wijen wangi gurih nasi putih kentang protein_vegetarian,tempe goreng wijen tempe goreng dengan taburan wijen wangi gurih
468,Tempe Telur Orak-arik,vegetarian,280,nasi putih,tempe dan telur dengan sayuran segar lauk tahu goreng,"['nasi', 'putih']",tempe telur orak arik vegetarian nasi putih tempe dan telur dengan sayuran segar lauk tahu goreng,nasi putih,tempe telur orak-arik,tempe dan telur dengan sayuran segar lauk tahu goreng,protein_vegetarian,tempe telur orak arik vegetarian nasi putih tempe dan telur dengan sayuran segar lauk tahu goreng protein_vegetarian,tempe telur orak arik tempe dan telur dengan sayuran segar lauk tahu goreng nasi putih protein_vegetarian,tempe telur orak arik tempe dan telur dengan sayuran segar lauk tahu goreng
469,Gado-gado Istimewa,vegetarian,300,nasi putih,sayuran dengan kacang dan telur lauk tempe goreng,"['nasi', 'putih']",gado gado istimewa vegetarian nasi putih sayuran dengan kacang dan telur lauk tempe goreng,nasi putih,gado-gado istimewa,sayuran dengan kacang dan telur lauk tempe goreng,protein_vegetarian,gado gado istimewa vegetarian nasi putih sayuran dengan kacang dan telur lauk tempe goreng protein_vegetarian,gado gado istimewa sayuran dengan kacang dan telur lauk tempe goreng nasi putih protein_vegetarian,gado gado istimewa sayuran dengan kacang dan telur lauk tempe goreng
470,Pecel Beras,vegetarian,280,nasi merah,nasi dengan sayuran kacang dan telur lauk tahu rebus,"['nasi', 'merah']",pecel beras vegetarian nasi merah nasi dengan sayuran kacang dan telur lauk tahu rebus,nasi merah,pecel beras,nasi dengan sayuran kacang dan telur lauk tahu rebus,protein_vegetarian,pecel beras vegetarian nasi merah nasi dengan sayuran kacang dan telur lauk tahu rebus protein_vegetarian,pecel beras nasi dengan sayuran kacang dan telur lauk tahu rebus nasi merah protein_vegetarian,pecel beras nasi dengan sayuran kacang dan telur lauk tahu rebus
471,Perkedel Goreng,vegetarian,250,kentang nasi putih,perkedel goreng renyah disajikan dengan salad sayur segar,"['kentang', 'nasi', 'putih']",perkedel goreng vegetarian kentang nasi putih perkedel goreng renyah disajikan dengan salad sayur segar,"kentang, nasi putih",perkedel goreng,perkedel goreng renyah disajikan dengan salad sayur segar,protein_vegetarian,perkedel goreng vegetarian kentang nasi putih perkedel goreng renyah disajikan dengan salad sayur segar protein_vegetarian,perkedel goreng perkedel goreng renyah disajikan dengan salad sayur segar nasi putih kentang protein_vegetarian,perkedel goreng perkedel goreng renyah disajikan dengan salad sayur segar
472,Bakwan Sayuran,vegetarian,240,nasi putih,bakwan sayuran renyah lauk telur goreng dan salad,"['nasi', 'putih']",bakwan sayuran vegetarian nasi putih bakwan sayuran renyah lauk telur goreng dan salad,nasi putih,bakwan sayuran,bakwan sayuran renyah lauk telur goreng dan salad,protein_vegetarian,bakwan sayuran vegetarian nasi putih bakwan sayuran renyah lauk telur goreng dan salad protein_vegetarian,bakwan sayuran bakwan sayuran renyah lauk telur goreng dan salad nasi putih protein_vegetarian,bakwan sayuran bakwan sayuran renyah lauk telur goreng dan salad
473,Lumpia Sayuran,vegetarian,220,nasi merah,lumpia isi sayuran segar digoreng renyah,"['nasi', 'merah']",lumpia sayuran vegetarian nasi merah lumpia isi sayuran segar digoreng renyah,nasi merah,lumpia sayuran,lumpia isi sayuran segar digoreng renyah,protein_vegetarian,lumpia sayuran vegetarian nasi merah lumpia isi sayuran segar digoreng renyah protein_vegetarian,lumpia sayuran lumpia isi sayuran segar digoreng renyah nasi merah protein_vegetarian,lumpia sayuran lumpia isi sayuran segar digoreng renyah
474,Capcay Kuah,vegetarian,210,nasi putih,tumis aneka sayuran dengan kuah kaldu jamur,"['nasi', 'putih']",capcay kuah vegetarian nasi putih tumis aneka sayuran dengan kuah kaldu jamur,nasi putih,capcay kuah,tumis aneka sayuran dengan kuah kaldu jamur,protein_vegetarian,capcay kuah vegetarian nasi putih tumis aneka sayuran dengan kuah kaldu jamur protein_vegetarian,capcay kuah tumis aneka sayuran dengan kuah kaldu jamur nasi putih protein_vegetarian,capcay kuah tumis aneka sayuran dengan kuah kaldu jamur
475,Tumis Kangkung Bawang,vegetarian,200,nasi putih,tumis kangkung segar dengan bawang putih gurih,"['nasi', 'putih']",tumis kangkung bawang vegetarian nasi putih tumis kangkung segar dengan bawang putih gurih,nasi putih,tumis kangkung bawang,tumis kangkung segar dengan bawang putih gurih,protein_vegetarian,tumis kangkung bawang vegetarian nasi putih tumis kangkung segar dengan bawang putih gurih protein_vegetarian,tumis kangkung bawang tumis kangkung segar dengan bawang putih gurih nasi putih protein_vegetarian,tumis kangkung bawang tumis kangkung segar dengan bawang putih gurih
476,Sayur Asem Segar,vegetarian,230,nasi merah,sayur asem dengan jagung manis dan labu siam,"['nasi', 'merah']",sayur asem segar vegetarian nasi merah sayur asem dengan jagung manis dan labu siam,nasi merah,sayur asem segar,sayur asem dengan jagung manis dan labu siam,protein_vegetarian,sayur asem segar vegetarian nasi merah sayur asem dengan jagung manis dan labu siam protein_vegetarian,sayur asem segar sayur asem dengan jagung manis dan labu siam nasi merah protein_vegetarian,sayur asem segar sayur asem dengan jagung manis dan labu siam
477,Sayur Lodeh Tahu,vegetarian,280,nasi putih,sayur lodeh santan encer dengan tahu dan tempe,"['nasi', 'putih']",sayur lodeh tahu vegetarian nasi putih sayur lodeh santan encer dengan tahu dan tempe,nasi putih,sayur lodeh tahu,sayur lodeh santan encer dengan tahu dan tempe,protein_vegetarian,sayur lodeh tahu vegetarian nasi putih sayur lodeh santan encer dengan tahu dan tempe protein_vegetarian,sayur lodeh tahu sayur lodeh santan encer dengan tahu dan tempe nasi putih protein_vegetarian,sayur lodeh tahu sayur lodeh santan encer dengan tahu dan tempe
478,Urap Sayuran,vegetarian,250,nasi merah,aneka sayuran rebus dengan kelapa parut bumbu pedas,"['nasi', 'merah']",urap sayuran vegetarian nasi merah aneka sayuran rebus dengan kelapa parut bumbu pedas,nasi merah,urap sayuran,aneka sayuran rebus dengan kelapa parut bumbu pedas,protein_vegetarian,urap sayuran vegetarian nasi merah aneka sayuran rebus dengan kelapa parut bumbu pedas protein_vegetarian,urap sayuran aneka sayuran rebus dengan kelapa parut bumbu pedas nasi merah protein_vegetarian,urap sayuran aneka sayuran rebus dengan kelapa parut bumbu pedas
479,Tumis Buncis Telur,vegetarian,260,nasi putih,tumis buncis muda dengan orak arik telur,"['nasi', 'putih']",tumis buncis telur vegetarian nasi putih tumis buncis muda dengan orak arik telur,nasi putih,tumis buncis telur,tumis buncis muda dengan orak arik telur,protein_vegetarian,tumis buncis telur vegetarian nasi putih tumis buncis muda dengan orak arik telur protein_vegetarian,tumis buncis telur tumis buncis muda dengan orak arik telur nasi putih protein_vegetarian,tumis buncis telur tumis buncis muda dengan orak arik telur
480,Sup Jagung Telur,vegetarian,240,kentang,sup krim jagung manis dengan serabut telur,['kentang'],sup jagung telur vegetarian kentang sup krim jagung manis dengan serabut telur,kentang,sup jagung telur,sup krim jagung manis dengan serabut telur,protein_vegetarian,sup jagung telur vegetarian kentang sup krim jagung manis dengan serabut telur protein_vegetarian,sup jagung telur sup krim jagung manis dengan serabut telur kentang protein_vegetarian,sup jagung telur sup krim jagung manis dengan serabut telur
481,Jamur Crispy,vegetarian,290,nasi putih,jamur tiram goreng tepung renyah saus sambal,"['nasi', 'putih']",jamur crispy vegetarian nasi putih jamur tiram goreng tepung renyah saus sambal,nasi putih,jamur crispy,jamur tiram goreng tepung renyah saus sambal,protein_vegetarian,jamur crispy vegetarian nasi putih jamur tiram goreng tepung renyah saus sambal protein_vegetarian,jamur crispy jamur tiram goreng tepung renyah saus sambal nasi putih protein_vegetarian,jamur crispy jamur tiram goreng tepung renyah saus sambal
482,Sate Jamur,vegetarian,270,nasi merah,sate jamur tiram bumbu kacang atau kecap,"['nasi', 'merah']",sate jamur vegetarian nasi merah sate jamur tiram bumbu kacang atau kecap,nasi merah,sate jamur,sate jamur tiram bumbu kacang atau kecap,protein_vegetarian,sate jamur vegetarian nasi merah sate jamur tiram bumbu kacang atau kecap protein_vegetarian,sate jamur sate jamur tiram bumbu kacang atau kecap nasi merah protein_vegetarian,sate jamur sate jamur tiram bumbu kacang atau kecap
483,Tumis Jamur Tiram,vegetarian,230,nasi putih,tumis jamur tiram dengan cabai dan bawang,"['nasi', 'putih']",tumis jamur tiram vegetarian nasi putih tumis jamur tiram dengan cabai dan bawang,nasi putih,tumis jamur tiram,tumis jamur tiram dengan cabai dan bawang,protein_vegetarian,tumis jamur tiram vegetarian nasi putih tumis jamur tiram dengan cabai dan bawang protein_vegetarian,tumis jamur tiram tumis jamur tiram dengan cabai dan bawang nasi putih protein_vegetarian,tumis jamur tiram tumis jamur tiram dengan cabai dan bawang
484,Pepes Jamur,vegetarian,220,nasi merah,jamur dibumbui rempah dan dikukus dalam daun pisang,"['nasi', 'merah']",pepes jamur vegetarian nasi merah jamur dibumbui rempah dan dikukus dalam daun pisang,nasi merah,pepes jamur,jamur dibumbui rempah dan dikukus dalam daun pisang,protein_vegetarian,pepes jamur vegetarian nasi merah jamur dibumbui rempah dan dikukus dalam daun pisang protein_vegetarian,pepes jamur jamur dibumbui rempah dan dikukus dalam daun pisang nasi merah protein_vegetarian,pepes jamur jamur dibumbui rempah dan dikukus dalam daun pisang
485,Rendang Jamur,vegetarian,310,nasi putih,jamur dimasak bumbu rendang kaya rempah,"['nasi', 'putih']",rendang jamur vegetarian nasi putih jamur dimasak bumbu rendang kaya rempah,nasi putih,rendang jamur,jamur dimasak bumbu rendang kaya rempah,protein_vegetarian,rendang jamur vegetarian nasi putih jamur dimasak bumbu rendang kaya rempah protein_vegetarian,rendang jamur jamur dimasak bumbu rendang kaya rempah nasi putih protein_vegetarian,rendang jamur jamur dimasak bumbu rendang kaya rempah
486,Orak-arik Jamur,vegetarian,250,nasi putih,telur orak arik dimasak dengan potongan jamur,"['nasi', 'putih']",orak arik jamur vegetarian nasi putih telur orak arik dimasak dengan potongan jamur,nasi putih,orak-arik jamur,telur orak arik dimasak dengan potongan jamur,protein_vegetarian,orak arik jamur vegetarian nasi putih telur orak arik dimasak dengan potongan jamur protein_vegetarian,orak arik jamur telur orak arik dimasak dengan potongan jamur nasi putih protein_vegetarian,orak arik jamur telur orak arik dimasak dengan potongan jamur
487,Sup Jamur Kuping,vegetarian,210,kentang,sup bening dengan jamur kuping dan sayuran,['kentang'],sup jamur kuping vegetarian kentang sup bening dengan jamur kuping dan sayuran,kentang,sup jamur kuping,sup bening dengan jamur kuping dan sayuran,protein_vegetarian,sup jamur kuping vegetarian kentang sup bening dengan jamur kuping dan sayuran protein_vegetarian,sup jamur kuping sup bening dengan jamur kuping dan sayuran kentang protein_vegetarian,sup jamur kuping sup bening dengan jamur kuping dan sayuran
488,Jamur Saus Tiram,vegetarian,240,nasi putih,tumis jamur dengan saus tiram vegetarian,"['nasi', 'putih']",jamur saus tiram vegetarian nasi putih tumis jamur dengan saus tiram vegetarian,nasi putih,jamur saus tiram,tumis jamur dengan saus tiram vegetarian,protein_vegetarian,jamur saus tiram vegetarian nasi putih tumis jamur dengan saus tiram vegetarian protein_vegetarian,jamur saus tiram tumis jamur dengan saus tiram vegetarian nasi putih protein_vegetarian,jamur saus tiram tumis jamur dengan saus tiram vegetarian
489,Fu Yung Hai Sayur,vegetarian,320,nasi putih,telur dadar tebal isi sayur dan jamur saus asam manis,"['nasi', 'putih']",fu yung hai sayur vegetarian nasi putih telur dadar tebal isi sayur dan jamur saus asam manis,nasi putih,fu yung hai sayur,telur dadar tebal isi sayur dan jamur saus asam manis,protein_vegetarian,fu yung hai sayur vegetarian nasi putih telur dadar tebal isi sayur dan jamur saus asam manis protein_vegetarian,fu yung hai sayur telur dadar tebal isi sayur dan jamur saus asam manis nasi putih protein_vegetarian,fu yung hai sayur telur dadar tebal isi sayur dan jamur saus asam manis
490,Telur Balado Jamur,vegetarian,290,nasi merah,telur rebus dan jamur dimasak bumbu balado,"['nasi', 'merah']",telur balado jamur vegetarian nasi merah telur rebus dan jamur dimasak bumbu balado,nasi merah,telur balado jamur,telur rebus dan jamur dimasak bumbu balado,protein_vegetarian,telur balado jamur vegetarian nasi merah telur rebus dan jamur dimasak bumbu balado protein_vegetarian,telur balado jamur telur rebus dan jamur dimasak bumbu balado nasi merah protein_vegetarian,telur balado jamur telur rebus dan jamur dimasak bumbu balado
491,Tumis Kacang Panjang,vegetarian,190,nasi putih,tumis kacang panjang dengan tempe dan bumbu lengkuas,"['nasi', 'putih']",tumis kacang panjang vegetarian nasi putih tumis kacang panjang dengan tempe dan bumbu lengkuas,nasi putih,tumis kacang panjang,tumis kacang panjang dengan tempe dan bumbu lengkuas,protein_vegetarian,tumis kacang panjang vegetarian nasi putih tumis kacang panjang dengan tempe dan bumbu lengkuas protein_vegetarian,tumis kacang panjang tumis kacang panjang dengan tempe dan bumbu lengkuas nasi putih protein_vegetarian,tumis kacang panjang tumis kacang panjang dengan tempe dan bumbu lengkuas
492,Sayur Lodeh Labu Siam,vegetarian,220,nasi merah,sayur santan labu siam dan kacang panjang gurih,"['nasi', 'merah']",sayur lodeh labu siam vegetarian nasi merah sayur santan labu siam dan kacang panjang gurih,nasi merah,sayur lodeh labu siam,sayur santan labu siam dan kacang panjang gurih,protein_vegetarian,sayur lodeh labu siam vegetarian nasi merah sayur santan labu siam dan kacang panjang gurih protein_vegetarian,sayur lodeh labu siam sayur santan labu siam dan kacang panjang gurih nasi merah protein_vegetarian,sayur lodeh labu siam sayur santan labu siam dan kacang panjang gurih
493,Terong Balado,vegetarian,240,nasi putih,terong ungu goreng dimasak sambal balado pedas,"['nasi', 'putih']",terong balado vegetarian nasi putih terong ungu goreng dimasak sambal balado pedas,nasi putih,terong balado,terong ungu goreng dimasak sambal balado pedas,protein_vegetarian,terong balado vegetarian nasi putih terong ungu goreng dimasak sambal balado pedas protein_vegetarian,terong balado terong ungu goreng dimasak sambal balado pedas nasi putih protein_vegetarian,terong balado terong ungu goreng dimasak sambal balado pedas
494,Mie Goreng Sayur,vegetarian,350,mie,mie goreng dengan banyak sayuran sawi kol wortel,['mie'],mie goreng sayur vegetarian mie mie goreng dengan banyak sayuran sawi kol wortel,mie,mie goreng sayur,mie goreng dengan banyak sayuran sawi kol wortel,protein_vegetarian,mie goreng sayur vegetarian mie mie goreng dengan banyak sayuran sawi kol wortel protein_vegetarian,mie goreng sayur mie goreng dengan banyak sayuran sawi kol wortel mie protein_vegetarian,mie goreng sayur mie goreng dengan banyak sayuran sawi kol wortel
